Location name,Lat (GDA94),Long (GDA94),Survey date,Depth (m),Chlorophyll a (ug/L),Secchi depth (metres),Total N (mg/L),Ammonia (mg/L),Organic N (mg/L),NOx (mg/L),DO (mg/L),DO saturation (%),pH (Unit),Pheopigments (ug/L),FRP (mg/L),Total P (mg/L),Salinity (g/L),Conductivity (mS/cm),Temp (deg C),Turbidity (NTU)
Moreton Bay grid reference 080820 (088200) (EHMP) site 916,-27.27839,153.08771,2022-03-07,0.2,2.671654,0.5,0.61,0.027,0.46299999999999997,0.12,8.7,114.4,8.26,0.305712,0.047,0.059,6.6,11.6,27.51,12.1
Moreton Bay grid reference 080820 (088200) (EHMP) site 916,-27.27839,153.08771,2022-03-07,2.0,-,-,-,-,-,-,3.3,45.0,7.72,-,-,-,23.17,36.66,25.03,28.24
Moreton Bay grid reference 100790 (105795) (107900) (EHMP) site 919,-27.30672,153.10604,2022-03-07,0.2,2.658362,0.6,0.55,0.006,0.542,0.002,11.31,149.7,8.74,0.05,0.032,0.058,7.07,12.4,27.78,8.41
Moreton Bay grid reference 100790 (105795) (107900) (EHMP) site 919,-27.30672,153.10604,2022-03-07,2.0,-,-,-,-,-,-,11.19,148.2,8.72,-,-,-,7.1,12.45,27.78,8.46
Moreton Bay grid reference 100790 (105795) (107900) (EHMP) site 919,-27.30672,153.10604,2022-03-07,4.0,-,-,-,-,-,-,4.83,67.1,7.92,-,-,-,23.53,37.18,25.16,8.34
"North Pine River -0.3km from mouth, grid reference 062823 EHMP MP E00800 ",-27.27751,153.06323,2022-03-09,0.2,5.823864,0.8,0.56,0.002,0.557,0.001,12.2,163.3,8.97,5.629736,0.017,0.054,5.57,9.95,28.89,10.58
"North Pine River -0.3km from mouth, grid reference 062823 EHMP MP E00800 ",-27.27751,153.06323,2022-03-09,2.0,-,-,-,-,-,-,4.95,68.4,7.85,-,-,-,19.9,31.98,26.16,12.07
"North Pine River -0.3km from mouth, grid reference 062823 EHMP MP E00800 ",-27.27751,153.06323,2022-03-09,4.0,-,-,-,-,-,-,3.49,48.1,7.73,-,-,-,21.31,34.0,25.56,11.3
North Pine River 2.4km from mouth EHMP MP E00801,-27.27938,153.04031,2022-03-09,0.2,7.765153,0.35,0.6,0.061,0.45999999999999996,0.079,7.55,99.1,7.86,4.464963,0.044,0.071,1.92,3.67,29.0,25.22
North Pine River 2.4km from mouth EHMP MP E00801,-27.27938,153.04031,2022-03-09,2.0,-,-,-,-,-,-,7.14,91.8,7.85,-,-,-,3.08,5.71,27.42,12.88
North Pine River 2.4km from mouth EHMP MP E00801,-27.27938,153.04031,2022-03-09,4.0,-,-,-,-,-,-,7.14,91.8,7.85,-,-,-,3.08,5.71,27.42,12.88
North Pine River 7.2km from mouth EHMP MP E00803,-27.28638,153.01488,2022-03-09,0.2,8.796758,0.25,0.68,0.063,0.47700000000000004,0.14,7.53,97.7,7.87,1.9485875,0.06,0.094,0.44,0.9,28.77,35.69
North Pine River 7.2km from mouth EHMP MP E00803,-27.28638,153.01488,2022-03-09,2.0,-,-,-,-,-,-,5.71,70.2,7.56,-,-,-,0.44,0.9,25.73,39.24
North Pine River 10.5km from mouth EHMP MP E00804,-27.26885,152.99186,2022-03-09,0.2,8.006247,0.25,0.54,0.064,0.39,0.086,6.36,80.9,7.74,0.05,0.064,0.09,0.58,1.18,27.6,42.46
North Pine River 10.5km from mouth EHMP MP E00804,-27.26885,152.99186,2022-03-09,2.0,-,-,-,-,-,-,5.39,66.2,7.23,-,-,-,0.71,1.43,25.58,45.8
"North Pine River -0.3km from mouth, grid reference 062823 EHMP MP E00800 ",-27.27751,153.06323,2022-05-13,0.2,3.117333,0.2,1,0.046,0.724,0.23,8.22,92.5,7.04,0.623467,0.03,0.16,0.09,1.97,21.13,126.2
"North Pine River -0.3km from mouth, grid reference 062823 EHMP MP E00800 ",-27.27751,153.06323,2022-05-13,2.0,-,-,-,-,-,-,8.2,92.3,7.03,-,-,-,0.1,0.2,21.12,136.8
North Pine River 2.4km from mouth EHMP MP E00801,-27.27938,153.04031,2022-05-13,0.2,0.742222,0.1,0.98,0.063,0.6869999999999999,0.23,8.24,92.7,7.01,7.570667,0.029,0.15,0.08,0.18,21.1,104.53
North Pine River 2.4km from mouth EHMP MP E00801,-27.27938,153.04031,2022-05-13,2.0,-,-,-,-,-,-,8.24,92.5,6.98,-,-,-,0.08,0.18,21.11,118.0
North Pine River 2.4km from mouth EHMP MP E00801,-27.27938,153.04031,2022-05-13,4.0,-,-,-,-,-,-,8.23,92.5,6.98,-,-,-,0.09,0.18,21.11,114.0
North Pine River 7.2km from mouth EHMP MP E00803,-27.28638,153.01488,2022-05-13,0.2,4.8096,0.2,0.73,0.062,0.498,0.17,8.84,99.8,7.15,0.05,0.018,0.096,0.05,0.11,21.3,82.86
North Pine River 7.2km from mouth EHMP MP E00803,-27.28638,153.01488,2022-05-13,2.0,-,-,-,-,-,-,8.83,99.6,7.13,-,-,-,0.05,0.11,21.3,70.05
North Pine River 7.2km from mouth EHMP MP E00803,-27.28638,153.01488,2022-05-13,4.0,-,-,-,-,-,-,8.61,97.0,7.09,-,-,-,0.06,0.13,21.21,92.95
North Pine River 10.5km from mouth EHMP MP E00804,-27.26885,152.99186,2022-05-13,0.2,7.287273,0.25,0.72,0.048,0.502,0.17,8.98,101.2,7.19,0.789455,0.013,0.086,0.04,0.09,21.23,73.25
North Pine River 10.5km from mouth EHMP MP E00804,-27.26885,152.99186,2022-05-13,2.0,-,-,-,-,-,-,8.97,101.0,7.14,-,-,-,0.04,0.09,21.22,66.78
North Pine River 10.5km from mouth EHMP MP E00804,-27.26885,152.99186,2022-05-13,4.0,-,-,-,-,-,-,8.96,101.0,7.12,-,-,-,0.04,0.09,21.22,57.21
Hays Inlet Hornibrook Highway bridge (EHMP) SITE 900,-27.26433,153.07996,2022-05-16,0.2,2.568061,0.3,0.89,0.12,0.62,0.15,5.04,60.1,7.55,1.746282,0.038,0.096,1.46,2.8,23.88,29.52
Hays Inlet Hornibrook Highway bridge (EHMP) SITE 900,-27.26433,153.07996,2022-05-16,1.5,-,-,-,-,-,-,3.55,47.1,7.85,-,-,-,28.39,43.98,21.72,19.32
Moreton Bay grid reference 080820  (EHMP) site 916,-27.27839,153.08771,2022-05-16,0.2,4.0044,0.15,0.8,0.059,0.5010000000000001,0.24,7.56,86.9,7.65,0.05,0.036,0.1,0.3,0.59,22.21,57.69
Moreton Bay grid reference 080820  (EHMP) site 916,-27.27839,153.08771,2022-05-16,2.0,-,-,-,-,-,-,3.8,50.5,7.86,-,-,-,29.07,44.93,21.72,17.99
Moreton Bay grid reference 100790 (105795) (107900) (EHMP) site 919,-27.30672,153.10604,2022-05-16,0.2,2.824868,0.3,0.92,0.1,0.55,0.27,7.88,99.3,7.75,0.05,0.076,0.12,2.86,5.31,26.39,26.54
Moreton Bay grid reference 100790 (105795) (107900) (EHMP) site 919,-27.30672,153.10604,2022-05-16,2.0,-,-,-,-,-,-,6.48,85.1,8.04,-,-,-,27.27,42.42,21.6,4.36
Moreton Bay grid reference 100790 (105795) (107900) (EHMP) site 919,-27.30672,153.10604,2022-05-16,4.0,-,-,-,-,-,-,5.76,76.6,8.01,-,-,-,29.48,45.49,21.69,25.75
"North Pine River -0.3km from mouth, grid reference 062823 EHMP MP E00800 ",-27.27751,153.06323,2022-08-01,0.2,2.058053,2,0.3,0.036,0.217,0.047,7.54,89.8,7.9,1.029027,0.027,0.033,24.09,37.87,16.74,1.83
"North Pine River -0.3km from mouth, grid reference 062823 EHMP MP E00800 ",-27.27751,153.06323,2022-08-01,2.0,-,-,-,-,-,-,7.5,89.9,7.94,-,-,-,25.49,39.86,16.66,1.99
"North Pine River -0.3km from mouth, grid reference 062823 EHMP MP E00800 ",-27.27751,153.06323,2022-08-01,4.0,-,-,-,-,-,-,7.49,89.8,7.95,-,-,-,25.65,40.08,16.66,1.82
North Pine River 2.4km from mouth EHMP MP E00801,-27.27938,153.04031,2022-08-01,0.2,1.617042,1.7,0.37,0.037,0.253,0.08,7.47,86.7,7.72,0.05,0.034,0.042,19.24,30.88,16.93,2.78
North Pine River 2.4km from mouth EHMP MP E00801,-27.27938,153.04031,2022-08-01,2.0,-,-,-,-,-,-,7.44,86.5,7.73,-,-,-,19.49,31.24,16.97,3.03
North Pine River 2.4km from mouth EHMP MP E00801,-27.27938,153.04031,2022-08-01,3.5,-,-,-,-,-,-,7.44,87.1,7.75,-,-,-,20.08,32.1,17.1,3.75
North Pine River 7.2km from mouth EHMP MP E00803,-27.28638,153.01488,2022-08-01,0.2,2.388812,1.6,0.47,0.054,0.286,0.13,7.18,80.3,7.41,0.05,0.062,0.066,11.77,19.68,17.35,3.85
North Pine River 7.2km from mouth EHMP MP E00803,-27.28638,153.01488,2022-08-01,1.5,-,-,-,-,-,-,6.89,78.9,7.57,-,-,-,17.35,28.09,16.88,3.51
North Pine River 10.5km from mouth EHMP MP E00804,-27.26885,152.99186,2022-08-01,0.2,3.675095,1,0.54,0.033,0.337,0.17,8.09,85.6,7.54,0.05,0.022,0.035,4.8,8.57,16.68,6.29
North Pine River 10.5km from mouth EHMP MP E00804,-27.26885,152.99186,2022-08-01,2.0,-,-,-,-,-,-,6.93,75.4,7.31,-,-,-,8.93,15.26,16.83,5.2
Hays Inlet Hornibrook Highway bridge (EHMP) SITE 900,-27.26433,153.07996,2022-08-01,0.2,5.292137,2,0.26,0.027,0.196,0.037,7.58,92.6,8.11,2.013952,0.006,0.024,28.31,43.82,16.79,0.75
Hays Inlet Hornibrook Highway bridge (EHMP) SITE 900,-27.26433,153.07996,2022-08-01,2.0,-,-,-,-,-,-,7.78,95.3,8.15,-,-,-,28.72,44.39,16.76,0.13
Moreton Bay grid reference 080820  (EHMP) site 916,-27.27839,153.08771,2022-08-01,0.2,2.71957,3.5,0.21,0.012,0.19599999999999998,0.002,8.08,99.2,8.2,0.316058,0.005,0.022,29.06,44.86,16.77,0.01
Moreton Bay grid reference 080820  (EHMP) site 916,-27.27839,153.08771,2022-08-01,2.0,-,-,-,-,-,-,8.21,100.9,8.22,-,-,-,29.36,45.27,16.74,0.01
Moreton Bay grid reference 080820  (EHMP) site 916,-27.27839,153.08771,2022-08-01,3.0,-,-,-,-,-,-,8.24,101.3,8.22,-,-,-,29.44,45.38,16.72,0.01
Moreton Bay grid reference 100790 (105795) (107900) (EHMP) site 919,-27.30672,153.10604,2022-08-01,0.2,0.441011,3.3,0.25,0.012,0.236,0.002,9.38,114.7,8.33,0.176405,0.005,0.031,29.04,44.84,16.61,0.32
Moreton Bay grid reference 100790 (105795) (107900) (EHMP) site 919,-27.30672,153.10604,2022-08-01,2.0,-,-,-,-,-,-,9.32,114.1,8.32,-,-,-,29.39,45.32,16.55,0.24
Moreton Bay grid reference 100790 (105795) (107900) (EHMP) site 919,-27.30672,153.10604,2022-08-01,4.0,-,-,-,-,-,-,9.13,111.8,8.31,-,-,-,29.66,45.69,16.47,0.06
Moreton Bay grid reference 100790 (105795) (107900) (EHMP) site 919,-27.30672,153.10604,2022-08-01,5.0,-,-,-,-,-,-,8.86,108.6,8.29,-,-,-,29.81,45.9,16.48,0.07
Hays Inlet Hornibrook Highway bridge (EHMP) SITE 900,-27.26433,153.07996,2022-09-06,0.2,4.202472,2.2,0.26,0.012,0.23800000000000002,0.01,7.55,95.6,8.09,3.20633,0.008,0.024,30.21,46.44,18.02,1.07
Hays Inlet Hornibrook Highway bridge (EHMP) SITE 900,-27.26433,153.07996,2022-09-06,2.0,-,-,-,-,-,-,7.71,98.1,8.14,-,-,-,31.19,47.79,17.97,1.28
Moreton Bay grid reference 080820  (EHMP) site 916,-27.27839,153.08771,2022-09-06,0.2,1.867765,2.8,0.26,0.016,0.229,0.015,7.45,95.0,8.08,0.747106,0.007,0.025,30.32,46.59,18.35,1.01
Moreton Bay grid reference 080820  (EHMP) site 916,-27.27839,153.08771,2022-09-06,2.0,-,-,-,-,-,-,7.54,96.4,8.14,-,-,-,31.91,48.78,17.98,0.9
Moreton Bay grid reference 080820  (EHMP) site 916,-27.27839,153.08771,2022-09-06,3.0,-,-,-,-,-,-,7.69,98.2,8.17,-,-,-,31.9,48.76,17.99,0.76
Moreton Bay grid reference 100790 (105795) (107900) (EHMP) site 919,-27.30672,153.10604,2022-09-06,0.2,2.248499,4.3,0.2,0.002,0.196,0.002,7.88,101.1,8.21,0.05,0.007,0.022,32.07,49.0,18.11,0.5
Moreton Bay grid reference 100790 (105795) (107900) (EHMP) site 919,-27.30672,153.10604,2022-09-06,2.0,-,-,-,-,-,-,7.89,101.1,8.21,-,-,-,32.11,49.04,18.08,0.63
Moreton Bay grid reference 100790 (105795) (107900) (EHMP) site 919,-27.30672,153.10604,2022-09-06,4.0,-,-,-,-,-,-,7.96,102.1,8.22,-,-,-,32.26,49.25,18.08,1.12
Moreton Bay grid reference 100790 (105795) (107900) (EHMP) site 919,-27.30672,153.10604,2022-09-06,4.5,-,-,-,-,-,-,8.12,104.2,8.23,-,-,-,32.36,49.4,18.07,1.85
"North Pine River -0.3km from mouth, grid reference 062823 EHMP MP E00800 ",-27.27751,153.06323,2022-09-07,0.2,3.125717,2.4,0.3,0.023,0.248,0.029,7.08,89.5,8.0,2.624148,0.03,0.033,27.0,41.98,18.97,1.7
"North Pine River -0.3km from mouth, grid reference 062823 EHMP MP E00800 ",-27.27751,153.06323,2022-09-07,2.0,-,-,-,-,-,-,7.11,90.1,8.08,-,-,-,28.04,43.42,18.74,2.04
"North Pine River -0.3km from mouth, grid reference 062823 EHMP MP E00800 ",-27.27751,153.06323,2022-09-07,4.0,-,-,-,-,-,-,7.16,90.8,8.11,-,-,-,28.67,44.3,18.54,2.02
North Pine River 2.4km from mouth EHMP MP E00801,-27.27938,153.04031,2022-09-07,0.2,3.9457,2,0.41,0.028,0.33499999999999996,0.047,6.63,82.6,7.8,0.556325,0.033,0.042,23.3,36.74,19.32,2.4
North Pine River 2.4km from mouth EHMP MP E00801,-27.27938,153.04031,2022-09-07,2.0,-,-,-,-,-,-,6.66,83.4,7.81,-,-,-,24.02,37.77,19.34,3.36
North Pine River 2.4km from mouth EHMP MP E00801,-27.27938,153.04031,2022-09-07,4.0,-,-,-,-,-,-,6.67,83.3,7.8,-,-,-,23.47,36.99,19.42,2.98
North Pine River 2.4km from mouth EHMP MP E00801,-27.27938,153.04031,2022-09-07,5.0,-,-,-,-,-,-,6.73,84.5,7.81,-,-,-,23.78,37.43,19.58,3.33
North Pine River 7.2km from mouth EHMP MP E00803,-27.28638,153.01488,2022-09-07,0.2,3.779937,1.5,0.46,0.021,0.379,0.06,6.49,79.5,7.58,1.003137,0.045,0.058,17.34,28.09,20.28,3.09
North Pine River 7.2km from mouth EHMP MP E00803,-27.28638,153.01488,2022-09-07,2.0,-,-,-,-,-,-,5.91,73.2,7.61,-,-,-,22.03,34.92,19.37,5.51
North Pine River 10.5km from mouth EHMP MP E00804,-27.26885,152.99186,2022-09-07,0.2,1.526513,1.2,0.45,0.015,0.369,0.066,6.84,79.8,7.48,0.05,0.019,0.035,9.83,16.68,20.1,3.86
North Pine River 10.5km from mouth EHMP MP E00804,-27.26885,152.99186,2022-09-07,2.0,-,-,-,-,-,-,6.08,73.1,7.44,-,-,-,15.37,25.16,19.94,3.66
"North Pine River -0.3km from mouth, grid reference 062823 EHMP MP E00800 ",-27.27751,153.06323,2022-10-06,0.2,1.507309,2.2,0.35,0.028,0.31399999999999995,0.008,6.76,89.3,7.91,0.05,0.006,0.032,26.79,41.71,21.36,1.68
"North Pine River -0.3km from mouth, grid reference 062823 EHMP MP E00800 ",-27.27751,153.06323,2022-10-06,2.0,-,-,-,-,-,-,6.79,89.9,7.93,-,-,-,27.36,42.5,21.29,2.2
"North Pine River -0.3km from mouth, grid reference 062823 EHMP MP E00800 ",-27.27751,153.06323,2022-10-06,2.5,-,-,-,-,-,-,6.81,90.1,7.93,-,-,-,27.38,42.53,21.29,2.49
North Pine River 2.4km from mouth EHMP MP E00801,-27.27938,153.04031,2022-10-06,0.2,2.153298,2.2,0.39,0.021,0.364,0.005,6.67,87.1,7.75,0.610101,0.002,0.039,24.06,37.86,21.59,2.13
North Pine River 2.4km from mouth EHMP MP E00801,-27.27938,153.04031,2022-10-06,2.0,-,-,-,-,-,-,6.65,86.7,7.74,-,-,-,24.11,37.92,21.55,1.92
North Pine River 2.4km from mouth EHMP MP E00801,-27.27938,153.04031,2022-10-06,4.0,-,-,-,-,-,-,6.74,89.1,7.78,-,-,-,24.96,39.14,21.95,5.06
North Pine River 2.4km from mouth EHMP MP E00801,-27.27938,153.04031,2022-10-06,4.5,-,-,-,-,-,-,6.69,88.0,7.76,-,-,-,24.63,38.67,21.85,4.39
North Pine River 7.2km from mouth EHMP MP E00803,-27.28638,153.01488,2022-10-06,0.2,2.512181,1.5,0.43,0.018,0.407,0.005,6.67,86.1,7.58,0.301462,0.046,0.059,20.2,32.31,22.22,1.86
North Pine River 7.2km from mouth EHMP MP E00803,-27.28638,153.01488,2022-10-06,1.5,-,-,-,-,-,-,6.43,83.4,7.6,-,-,-,22.71,35.92,21.68,2.5
North Pine River 10.5km from mouth EHMP MP E00804,-27.26885,152.99186,2022-10-06,0.2,1.220202,2.2,0.36,0.016,0.33699999999999997,0.007,6.11,77.0,7.38,0.186619,0.025,0.039,15.75,25.76,22.33,1.52
North Pine River 10.5km from mouth EHMP MP E00804,-27.26885,152.99186,2022-10-06,1.5,-,-,-,-,-,-,6.01,76.0,7.37,-,-,-,16.84,27.38,22.14,1.37
Hays Inlet Hornibrook Highway bridge (EHMP) SITE 900,-27.26433,153.07996,2022-10-06,0.2,1.148426,2.1,0.41,0.038,0.32099999999999995,0.051,7.5,100.7,8.02,0.509614,0.003,0.028,30.31,46.58,21.15,2.36
Hays Inlet Hornibrook Highway bridge (EHMP) SITE 900,-27.26433,153.07996,2022-10-06,1.5,-,-,-,-,-,-,7.91,106.8,8.09,-,-,-,30.79,47.25,21.26,1.76
Moreton Bay grid reference 080820  (EHMP) site 916,-27.27839,153.08771,2022-10-06,0.2,2.197319,3,0.32,0.022,0.296,0.002,7.08,94.5,8.01,0.05,0.005,0.03,30.43,46.76,20.83,1.58
Moreton Bay grid reference 080820  (EHMP) site 916,-27.27839,153.08771,2022-10-06,2.0,-,-,-,-,-,-,7.41,99.3,8.13,-,-,-,31.83,48.67,20.52,0.69
Moreton Bay grid reference 100790 (105795) (107900) (EHMP) site 919,-27.30672,153.10604,2022-10-06,0.2,1.579085,2,0.36,0.022,0.32,0.018,7.82,105.9,8.12,0.05,0.006,0.029,31.21,47.83,21.35,1.47
Moreton Bay grid reference 100790 (105795) (107900) (EHMP) site 919,-27.30672,153.10604,2022-10-06,2.0,-,-,-,-,-,-,7.85,105.5,8.15,-,-,-,31.94,48.82,20.67,1.16
"North Pine River -0.3km from mouth, grid reference 062823 EHMP MP E00800 ",-27.27751,153.06323,2022-11-10,0.2,3.604695,2,0.28,0.002,0.272,0.006,6.87,95.0,7.96,0.05,0.031,0.032,29.38,45.34,23.04,2.66
"North Pine River -0.3km from mouth, grid reference 062823 EHMP MP E00800 ",-27.27751,153.06323,2022-11-10,2.0,-,-,-,-,-,-,6.96,97.6,8.0,-,-,-,29.94,46.12,23.7,3.97
"North Pine River -0.3km from mouth, grid reference 062823 EHMP MP E00800 ",-27.27751,153.06323,2022-11-10,3.5,-,-,-,-,-,-,6.79,93.5,7.96,-,-,-,29.71,45.79,22.74,2.63
North Pine River 2.4km from mouth EHMP MP E00801,-27.27938,153.04031,2022-11-10,0.2,4.290397,1.8,0.34,0.002,0.336,0.002,6.62,90.0,7.76,0.149231,0.029,0.039,25.56,40.02,23.34,3.5
North Pine River 2.4km from mouth EHMP MP E00801,-27.27938,153.04031,2022-11-10,2.0,-,-,-,-,-,-,6.63,90.4,7.77,-,-,-,25.78,40.32,23.45,3.92
North Pine River 2.4km from mouth EHMP MP E00801,-27.27938,153.04031,2022-11-10,3.0,-,-,-,-,-,-,6.7,93.0,7.8,-,-,-,26.6,41.5,23.7,6.0
North Pine River 7.2km from mouth EHMP MP E00803,-27.28638,153.01488,2022-11-10,0.2,3.423333,1.2,0.43,0.002,0.426,0.002,6.7,89.6,7.58,1.386868,0.034,0.053,19.48,31.32,24.43,3.4
North Pine River 7.2km from mouth EHMP MP E00803,-27.28638,153.01488,2022-11-10,2.0,-,-,-,-,-,-,5.65,75.0,7.54,-,-,-,21.84,34.71,23.23,4.48
North Pine River 10.5km from mouth EHMP MP E00804,-27.26885,152.99186,2022-11-10,0.2,5.59617,1.8,0.36,0.002,0.356,0.002,6.69,86.8,7.42,3.805396,0.028,0.04,13.29,22.1,24.63,1.97
North Pine River 10.5km from mouth EHMP MP E00804,-27.26885,152.99186,2022-11-10,2.0,-,-,-,-,-,-,6.58,85.8,7.41,-,-,-,14.38,23.74,24.59,2.0
North Pine River 10.5km from mouth EHMP MP E00804,-27.26885,152.99186,2022-11-10,3.5,-,-,-,-,-,-,6.19,81.2,7.41,-,-,-,15.82,25.91,24.48,2.0
Hays Inlet Hornibrook Highway bridge (EHMP) SITE 900,-27.26433,153.07996,2022-11-11,0.2,0.746156,1.8,0.29,0.002,0.27899999999999997,0.009,6.76,94.6,8.15,0.298462,0.03,0.036,29.78,45.9,23.62,2.08
Hays Inlet Hornibrook Highway bridge (EHMP) SITE 900,-27.26433,153.07996,2022-11-11,2.0,-,-,-,-,-,-,6.72,94.0,8.14,-,-,-,29.76,45.88,23.6,2.18
Moreton Bay grid reference 080820  (EHMP) site 916,-27.27839,153.08771,2022-11-11,0.2,1.025964,3,0.24,0.002,0.23099999999999998,0.007,7.37,104.6,8.33,0.05,0.031,0.033,30.98,47.57,24.05,0.71
Moreton Bay grid reference 080820  (EHMP) site 916,-27.27839,153.08771,2022-11-11,2.0,-,-,-,-,-,-,7.37,104.6,8.32,-,-,-,30.99,47.59,24.07,0.74
Moreton Bay grid reference 080820  (EHMP) site 916,-27.27839,153.08771,2022-11-11,3.0,-,-,-,-,-,-,8.02,112.7,8.36,-,-,-,31.19,47.85,23.43,1.31
Moreton Bay grid reference 100790 (105795) (107900) (EHMP) site 919,-27.30672,153.10604,2022-11-11,0.2,1.119234,2.8,0.22,0.002,0.211,0.007,7.61,107.7,8.33,0.186539,0.028,0.028,31.83,48.73,23.61,1.1
Moreton Bay grid reference 100790 (105795) (107900) (EHMP) site 919,-27.30672,153.10604,2022-11-11,2.0,-,-,-,-,-,-,7.66,107.9,8.34,-,-,-,31.8,48.68,23.34,0.89
Moreton Bay grid reference 100790 (105795) (107900) (EHMP) site 919,-27.30672,153.10604,2022-11-11,4.0,-,-,-,-,-,-,7.65,106.0,8.35,-,-,-,31.8,48.66,22.4,1.94
Moreton Bay grid reference 100790 (105795) (107900) (EHMP) site 919,-27.30672,153.10604,2022-11-11,5.5,-,-,-,-,-,-,7.37,102.0,8.32,-,-,-,31.82,48.69,22.37,4.36
"North Pine River -0.3km from mouth, grid reference 062823 EHMP MP E00800 ",-27.27751,153.06323,2022-12-02,0.2,0.725,1.8,0.31,0.037,0.259,0.014,6.61,87.5,7.96,0.105,0.007,0.034,27.64,42.89,21.26,1.85
"North Pine River -0.3km from mouth, grid reference 062823 EHMP MP E00800 ",-27.27751,153.06323,2022-12-02,2.0,-,-,-,-,-,-,6.66,88.7,8.03,-,-,-,28.95,44.71,21.07,1.89
"North Pine River -0.3km from mouth, grid reference 062823 EHMP MP E00800 ",-27.27751,153.06323,2022-12-02,4.0,-,-,-,-,-,-,6.67,89.0,8.08,-,-,-,29.66,45.7,21.01,1.78
North Pine River 2.4km from mouth EHMP MP E00801,-27.27938,153.04031,2022-12-02,0.2,1.186769,1.8,0.4,0.047,0.322,0.031,6.07,79.8,7.79,0.05,0.029,0.042,23.23,36.69,22.22,2.29
North Pine River 2.4km from mouth EHMP MP E00801,-27.27938,153.04031,2022-12-02,2.0,-,-,-,-,-,-,6.16,81.2,7.83,-,-,-,24.03,37.81,22.12,3.27
North Pine River 2.4km from mouth EHMP MP E00801,-27.27938,153.04031,2022-12-02,4.0,-,-,-,-,-,-,6.38,84.6,8.0,-,-,-,27.23,42.32,21.43,2.95
North Pine River 2.4km from mouth EHMP MP E00801,-27.27938,153.04031,2022-12-02,5.0,-,-,-,-,-,-,6.37,85.0,8.12,-,-,-,29.41,45.35,21.05,2.21
North Pine River 7.2km from mouth EHMP MP E00803,-27.28638,153.01488,2022-12-02,0.2,1.129521,1.7,0.52,0.067,0.367,0.086,5.47,70.2,7.54,0.2672,0.041,0.053,16.37,26.71,23.12,2.59
North Pine River 7.2km from mouth EHMP MP E00803,-27.28638,153.01488,2022-12-02,2.0,-,-,-,-,-,-,4.97,66.0,7.62,-,-,-,22.09,35.07,23.18,2.08
North Pine River 7.2km from mouth EHMP MP E00803,-27.28638,153.01488,2022-12-02,3.0,-,-,-,-,-,-,5.01,66.4,7.66,-,-,-,22.76,36.02,22.81,2.57
North Pine River 10.5km from mouth EHMP MP E00804,-27.26885,152.99186,2022-12-02,0.2,1.977948,1.5,0.48,0.088,0.307,0.085,4.46,55.8,7.34,0.421962,0.032,0.042,11.12,18.74,23.38,2.64
North Pine River 10.5km from mouth EHMP MP E00804,-27.26885,152.99186,2022-12-02,2.0,-,-,-,-,-,-,3.55,46.3,7.31,-,-,-,16.77,27.31,23.94,2.52
North Pine River 10.5km from mouth EHMP MP E00804,-27.26885,152.99186,2022-12-02,3.0,-,-,-,-,-,-,3.08,41.3,7.35,-,-,-,20.77,33.18,24.16,3.11
Hays Inlet Hornibrook Highway bridge (EHMP) SITE 900,-27.26433,153.07996,2022-12-05,0.2,1.516427,1.6,0.25,0.002,0.246,0.002,7.15,100.2,8.1,0.05,0.003,0.031,30.39,46.75,23.49,2.46
Hays Inlet Hornibrook Highway bridge (EHMP) SITE 900,-27.26433,153.07996,2022-12-05,2.0,-,-,-,-,-,-,7.89,111.0,8.18,-,-,-,31.66,48.48,23.34,2.15
Moreton Bay grid reference 080820  (EHMP) site 916,-27.27839,153.08771,2022-12-05,0.2,1.066484,2.4,0.22,0.002,0.216,0.002,7.32,102.8,8.17,0.422541,0.003,0.03,31.91,48.82,23.11,1.77
Moreton Bay grid reference 080820  (EHMP) site 916,-27.27839,153.08771,2022-12-05,2.0,-,-,-,-,-,-,7.45,104.2,8.18,-,-,-,31.95,48.87,22.87,1.94
Moreton Bay grid reference 080820  (EHMP) site 916,-27.27839,153.08771,2022-12-05,3.0,-,-,-,-,-,-,7.58,105.9,8.19,-,-,-,31.95,48.87,22.84,1.97
Moreton Bay grid reference 100790 (105795) (107900) (EHMP) site 919,-27.30672,153.10604,2022-12-05,0.2,2.531453,3,0.2,0.002,0.196,0.002,7.8,110.0,8.23,0.05,0.004,0.005,32.42,49.52,23.22,1.0
Moreton Bay grid reference 100790 (105795) (107900) (EHMP) site 919,-27.30672,153.10604,2022-12-05,2.0,-,-,-,-,-,-,7.81,110.3,8.24,-,-,-,32.41,49.51,23.24,1.02
Moreton Bay grid reference 100790 (105795) (107900) (EHMP) site 919,-27.30672,153.10604,2022-12-05,4.0,-,-,-,-,-,-,7.96,111.0,8.25,-,-,-,32.41,49.5,22.58,1.41
Moreton Bay grid reference 100790 (105795) (107900) (EHMP) site 919,-27.30672,153.10604,2022-12-05,5.0,-,-,-,-,-,-,7.95,110.9,8.25,-,-,-,32.41,49.49,22.56,1.64
"North Pine River -0.3km from mouth, grid reference 062823 EHMP MP E00800 ",-27.27751,153.06323,2023-02-02,0.2,1.02286,1.35,0.22,0.002,0.216,0.002,5.93,94.0,8.1,0.767145,0.006,0.01,33.72,51.52,29.67,3.19
